학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소,경도,위도
대학,132,성공회대학교,본교,서울,사립,기존,서울특별시 구로구 연동로 320 ,126.826165,37.4875272
대학,133,성균관대학교,본교,서울,사립,기존,서울특별시 종로구 성균관로 25-2 ,126.9931161,37.58722444
대학,136,성신여자대학교,본교,서울,사립,기존,서울특별시 성북구 보문로34다길 2 ,127.0220116,37.5916825
대학,137,세명대학교,본교,충북,사립,기존,충청북도 제천시 세명로 65 ,128.1961553,37.17384293
대학,138,세종대학교,본교,서울,사립,기존,서울특별시 광진구 능동로 209 ,127.0731855,37.55161264
대학,139,수원가톨릭대학교,본교,경기,사립,기존,경기도 화성시 봉담읍 왕림1길 67 ,126.9331967,37.1956754
대학,140,수원대학교,본교,경기,사립,기존,경기도 화성시 봉담읍 와우안길 17 ,126.9793841,37.21002817
대학,141,숙명여자대학교,본교,서울,사립,기존,서울특별시 용산구 청파로47길 90 ,126.9654189,37.54525119
대학,142,순천향대학교,본교,충남,사립,기존,충청남도 아산시 신창면 순천향로 22 ,126.9289434,36.76835142
대학,143,숭실대학교,본교,서울,사립,기존,서울특별시 동작구 상도로 369 ,126.9551621,37.4964314
대학,144,신라대학교,본교,부산,사립,기존,부산광역시 사상구 백양대로700번길 140 ,128.9977398,35.17203541
대학,145,아신대학교,본교,경기,사립,기존,경기도 양평군 옥천면 경강로 1276 아신대학교,127.4291249,37.51117572
대학,146,아주대학교,본교,경기,사립,기존,경기도 수원시 영통구 월드컵로 206 ,127.0435044,37.28297056
대학,147,안양대학교,본교,경기,사립,기존,경기도 안양시 만안구 삼덕로37번길 22 ,126.9205334,37.39176937
대학,148,안양대학교,제2캠퍼스,인천,사립,기존,인천광역시 강화군 불은면 중앙로 602-14 ,126.4447152,37.71100054
대학,149,연세대학교,본교,서울,사립,기존,서울특별시 서대문구 연세로 50 ,126.9439033,37.56609201
대학,150,연세대학교(미래),분교,강원,사립,기존,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,127.904328,37.27482985
대학,151,영남대학교,본교,경북,사립,기존,경상북도 경산시 대학로 280 ,128.7521772,35.83048365
대학,153,영남신학대학교,본교,경북,사립,기존,경상북도 경산시 진량읍 봉회1길 26 ,128.8180615,35.88039059
대학,154,유원대학교,본교,충북,사립,기존,충청북도 영동군 영동읍 대학로 310 ,127.7993263,36.19617905
대학,155,영산선학대학교,본교,전남,사립,기존,전라남도 영광군 백수읍 성지로 1357 ,126.4413442,35.32734586
대학,156,용인대학교,본교,경기,사립,기존,경기도 용인시 처인구 용인대학로 134 ,127.1707244,37.22787384
대학,157,우석대학교,본교,전북,사립,기존,전라북도 완주군 삼례읍 삼례로 443 ,127.0676347,35.91145525
대학,158,울산대학교,본교,울산,사립,기존,울산광역시 남구 대학로 93 ,129.2574783,35.54171529
대학,159,원광대학교,본교,전북,사립,기존,전라북도 익산시 익산대로 460 ,126.9602199,35.97171577
대학,160,위덕대학교,본교,경북,사립,기존,경상북도 경주시 강동면 동해대로 261 ,129.2825921,36.01610785
대학,161,을지대학교,본교,대전,사립,기존,대전광역시 중구 계룡로771번길 77 ,127.4058774,36.33305857
