학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소
전문대학,632,한국폴리텍 VII 대학 부산캠퍼스,본교,부산,사립,기존,부산광역시 북구 만덕대로155번길 99 
전문대학,633,한국폴리텍 VII 대학 울산캠퍼스,본교,울산,사립,기존,울산광역시 중구 산전길 155 
전문대학,635,한국폴리텍 특성화대학 바이오캠퍼스,본교,충남,사립,기존,충청남도 논산시 강경읍 동안로112번길 48 
전문대학,636,한국폴리텍 VI 대학 영남융합기술캠퍼스,본교,대구,사립,기존,대구광역시 동구 팔공로 222
전문대학,637,한국폴리텍 특성화대학 반도체융합캠퍼스,본교,경기,사립,기존,경기도 안성시 공도읍 송원길 41-12 
전문대학,638,한국폴리텍 특성화대학 항공캠퍼스,본교,경남,사립,기존,경상남도 사천시 대학길 46 
대학,2573,경동대학교,제2캠퍼스,강원,사립,기존,강원도 속초시 도리원길 5 
대학,2574,경동대학교,제3캠퍼스,강원,사립,기존,강원도 원주시 문막읍 견훤로 815 
전문대학,2639,강원도립대학교,본교,강원,공립,기존,강원도 강릉시 주문진읍 연주로 270 
전문대학,2640,경남정보대학교,본교,부산,사립,기존,부산광역시 사상구 주례로 45 
전문대학,2641,경복대학교,본교,경기,사립,기존,경기도 남양주시 진접읍 경복대로 425 
전문대학,2642,경북전문대학교,본교,경북,사립,기존,경상북도 영주시 대학로 77 
전문대학,2645,서라벌대학교,본교,경북,사립,기존,경상북도 경주시 태종로 478-20 
전문대학,2646,서영대학교,본교,광주,사립,기존,광주광역시 북구 서강로 1 
전문대학,2647,성운대학교,본교,경북,사립,기존,경상북도 영천시 신녕면 대학길 105 
전문대학,2649,수성대학교,본교,대구,사립,기존,대구광역시 수성구 달구벌대로528길 15 
전문대학,2650,안동과학대학교,본교,경북,사립,기존,경상북도 안동시 서후면 서선길 189 
전문대학,2651,연성대학교,본교,경기,사립,기존,경기도 안양시 만안구 양화로37번길 34 
전문대학,2652,연암공과대학교,본교,경남,사립,기존,경남 진주시 진주대로 629번길 35
전문대학,2653,오산대학교,본교,경기,사립,기존,경기도 오산시 청학로 45 
전문대학,2654,인하공업전문대학,본교,인천,사립,기존,인천광역시 미추홀구 인하로 100 
전문대학,2655,제주한라대학교,본교,제주,사립,기존,제주특별자치도 제주시 한라대학로 38 
전문대학,2656,청암대학교,본교,전남,사립,기존,전라남도 순천시 녹색로 1641 
전문대학,2657,충남도립대학교,본교,충남,공립,기존,충청남도 청양군 청양읍 학사길 55 
전문대학,2658,포항대학교,본교,경북,사립,기존,경상북도 포항시 북구 흥해읍 신덕로 60 
전문대학,2659,한국복지대학교,본교,경기,국립,기존,경기도 평택시 삼남로 283 
대학,2660,인천대학교,본교,인천,국립대법인,기존,인천광역시 연수구 아카데미로 119 
전문대학,2674,한국폴리텍 VI 대학 영주캠퍼스,본교,경북,사립,기존,경상북도 영주시 가흥로 2 
대학,2712,신한대학교,본교,경기,사립,기존,경기도 동두천시 벌마들로40번길 30 
대학,2726,단국대학교,제2캠퍼스,충남,사립,기존,충청남도 천안시 동남구 단대로 119 
대학,2744,경동대학교,제4캠퍼스,경기,사립,기존,경기도 양주시 경동대학로 27 
대학,2748,가야대학교(김해),본교,경남,사립,기존,경상남도 김해시 삼계로 208 
대학,2749,가야대학교(고령),제2캠퍼스,경북,사립,기존,경상북도 고령군 대가야읍 대가야로 1103 
대학,2800,신한대학교,제2캠퍼스,경기,사립,기존,경기도 의정부시 호암로 95 
전문대학,2854,한국폴리텍 III 대학 원주캠퍼스,본교,강원,사립,기존,강원도 원주시 북원로2425번길 73 
대학,2911,을지대학교,제3캠퍼스,경기,사립,기존,경기도 의정부시 동일로 712 
전문대학,2912,한국폴리텍 I 대학 제주캠퍼스,본교,제주,사립,기존,제주특별자치도 제주시 산천단동3길 2 
대학,2949,홍익대학교,제2캠퍼스,세종,사립,기존,세종특별자치시 조치원읍 세종로 2639 
대학,2959,상명대학교,제2캠퍼스,충남,사립,기존,충청남도 천안시 동남구 상명대길 31 
전문대학,2971,군산간호대학교,본교,전북,사립,기존,전라북도 군산시 동개정길 7 
전문대학,2972,기독간호대학교,본교,광주,사립,기존,광주광역시 남구 백서로70번길 6 
전문대학,2973,서울여자간호대학교,본교,서울,사립,기존,서울특별시 서대문구 간호대로 38 
전문대학,2974,조선간호대학교,본교,광주,사립,기존,광주광역시 동구 필문대로 309-2 
전문대학,2975,한국폴리텍 V 대학 순천캠퍼스,본교,전남,사립,기존,전라남도 순천시 기적의도서관1길 41 
전문대학,3019,한국농수산대학(일반),본교,전북,특별법국립,기존,전라북도 전주시 덕진구 콩쥐팥쥐로 1515 
대학,3022,한국전통문화대학교,본교,충남,특별법국립,기존,충청남도 부여군 규암면 백제문로 367 
전문대학,3104,한국폴리텍 특성화대학 로봇캠퍼스,본교,경북,사립,기존,경상북도 영천시 로봇캠퍼스로 1 
대학,3139,한국에너지공과대학교,본교,전남,특별법법인,신설,전라남도 나주시 혁신로 200
전문대학,3157,한국폴리텍 VII 대학 진주캠퍼스,본교,경남,사립,신설,경상남도 진주시 모덕로 299
전문대학,3163,한국폴리텍 VII 대학 동부산캠퍼스,본교,부산,사립,신설,부산광역시 기장군 정관읍 산단4로 2-69 
